time_since_fade_in (s),phase_,amp (rad),freq (Hz),motor_idx,policy_output,command (rad),motor_position (rad),motor_velocity (rad/s)
0.00458236, 0.0575836, 0.5, 2, 2, 0.5, 0.5, 0.0241069, -0.14286
0.00591785, 0.0743659, 0.5, 2, 2, 0.5, 0.5, 0.0237255, -0.14286
0.0135872, 0.170741, 0.5, 2, 2, 0.5, 0.5, 0.0241069, -0.0158768
0.0143121, 0.179851, 0.5, 2, 2, 0.5, 0.5, 0.0241069, 0.0476227
0.0196419, 0.246827, 0.5, 2, 2, 0.5, 0.5, 0.0241069, 0.0158768
0.0244662, 0.307451, 0.5, 2, 2, 0.5, 0.5, 0.0256328, 0.14286
0.02592, 0.325721, 0.5, 2, 2, 0.5, 0.5, 0.0435619, 2.04762
0.03318, 0.416952, 0.5, 2, 2, 0.5, 0.5, 0.0714092, 5.09524
0.0339239, 0.4263, 0.5, 2, 2, 0.5, 0.5, 0.11299, 8.46032
0.043133, 0.542026, 0.5, 2, 2, 0.5, 0.5, 0.156097, 10.4286
0.0438501, 0.551036, 0.5, 2, 2, 0.5, 0.5, 0.197678, 10.8095
0.0476431, 0.598701, 0.5, 2, 2, 0.5, 0.5, 0.231629, 9.66667
0.0507085, 0.637222, 0.5, 2, 2, 0.5, 0.5, 0.255662, 7.57143
0.0563478, 0.708088, 0.5, 2, 2, 0.5, 0.5, 0.278933, 4.55556
0.0579152, 0.727783, 0.5, 2, 2, 0.5, 0.5, 0.283892, 3.73016
0.0634775, 0.797682, 0.5, 2, 2, 0.5, 0.5, 0.295336, 3.03175
0.0659092, 0.828239, 0.5, 2, 2, 0.5, 0.5, 0.305254, 2.71429
0.0722814, 0.908315, 0.5, 2, 2, 0.5, 0.5, 0.315935, 2.5873
0.0763991, 0.960059, 0.5, 2, 2, 0.5, 0.5, 0.328525, 2.80952
0.0779209, 0.979183, 0.5, 2, 2, 0.5, 0.5, 0.341876, 3.25397
0.0840583, 1.05631, 0.5, 2, 2, 0.5, 0.5, 0.355609, 3.44444
0.0876339, 1.10124, 0.5, 2, 2, 0.5, 0.5, 0.368579, 3.47619
0.089912, 1.12987, 0.5, 2, 2, 0.5, 0.5, 0.38193, 3.28571
0.0972773, 1.22242, 0.5, 2, 2, 0.5, 0.5, 0.393757, 3.06349
0.0979955, 1.23145, 0.5, 2, 2, 0.5, 0.5, 0.403294, 2.68254
0.104385, 1.31174, 0.5, 2, 2, 0.5, 0.5, 0.412449, 2.42857
0.10594, 1.33128, 0.5, 2, 2, 0.5, 0.5, 0.419697, 2.14286
0.113206, 1.42259, 0.5, 2, 2, 0.5, 0.5, 0.424656, 1.60318
0.113942, 1.43184, 0.5, 2, 2, 0.5, 0.5, 0.429234, 1.28571
0.123036, 1.54612, 0.5, 2, 2, 0.5, 0.5, 0.433048, 1.06349
0.123752, 1.55511, 0.5, 2, 2, 0.5, 0.5, 0.4361, 0.936508
0.127559, 1.60295, 0.5, 2, 2, 0.5, 0.5, 0.437244, 0.619049
0.129922, 1.63265, 0.5, 2, 2, 0.5, 0.5, 0.438007, 0.30159
0.135445, 1.70205, 0.5, 2, 2, 0.5, 0.5, 0.441059, 0.428574
0.139562, 1.75378, 0.5, 2, 2, 0.5, 0.5, 0.442966, 0.587303
0.143453, 1.80268, 0.5, 2, 2, 0.5, 0.5, 0.448688, 1.03175
0.147588, 1.85464, 0.5, 2, 2, 0.5, 0.5, 0.453267, 1.28571
0.151469, 1.90342, 0.5, 2, 2, 0.5, 0.5, 0.458608, 1.31746
0.156028, 1.9607, 0.5, 2, 2, 0.5, 0.5, 0.462422, 1.15873
0.158965, 1.99762, 0.5, 2, 2, 0.5, 0.5, 0.465474, 0.904762
0.163768, 2.05796, 0.5, 2, 2, 0.5, 0.5, 0.467763, 0.714287
0.167588, 2.10597, 0.5, 2, 2, 0.5, 0.5, 0.469289, 0.46032
0.169912, 2.13518, 0.5, 2, 2, 0.5, 0.5, 0.471196, 0.46032
0.17647, 2.21759, 0.5, 2, 2, 0.5, 0.5, 0.473866, 0.587303
0.17793, 2.23593, 0.5, 2, 2, 0.5, 0.5, 0.475392, 0.555557
0.184017, 2.31243, 0.5, 2, 2, 0.5, 0.5, 0.476918, 0.492065
0.187642, 2.35797, 0.5, 2, 2, 0.5, 0.5, 0.478826, 0.46032
0.190733, 2.39682, 0.5, 2, 2, 0.5, 0.5, 0.479588, 0.365082
0.196654, 2.47123, 0.5, 2, 2, 0.5, 0.5, 0.479588, 0.14286
0.197911, 2.48702, 0.5, 2, 2, 0.5, 0.5, 0.479588, 0.0476227
0.203962, 2.56306, 0.5, 2, 2, 0.5, 0.5, 0.479588, 0.0158768
0.205916, 2.58761, 0.5, 2, 2, 0.5, 0.5, 0.479588, 0.0158768
0.212173, 2.66625, 0.5, 2, 2, 0.5, 0.5, 0.480351, 0.0476227
0.216447, 2.71996, 0.5, 2, 2, 0.5, 0.5, 0.480733, 0.111115
0.21791, 2.73834, 0.5, 2, 2, 0.5, 0.5, 0.481114, 0.14286
0.2236, 2.80984, 0.5, 2, 2, 0.5, 0.5, 0.481877, 0.14286
0.22792, 2.86412, 0.5, 2, 2, 0.5, 0.5, 0.48264, 0.174606
0.229915, 2.88919, 0.5, 2, 2, 0.5, 0.5, 0.48264, 0.111115
0.236466, 2.97152, 0.5, 2, 2, 0.5, 0.5, 0.483785, 0.14286
0.237915, 2.98973, 0.5, 2, 2, 0.5, 0.5, 0.484548, 0.269844
0.244135, 3.06789, 0.5, 2, 2, 0.5, 0.5, 0.485311, 0.238098
0.245916, 3.09027, 0.5, 2, 2, 0.5, 0.5, 0.485692, 0.174606
0.253019, 3.17953, 0.5, 2, 2, -0.5, -0.5, 0.485692, 0.0793686
0.253921, 3.19087, 0.5, 2, 2, -0.5, -0.5, 0.485692, 0.0158768
0.261046, 3.2804, 0.5, 2, 2, -0.5, -0.5, 0.485692, 0.0158768
0.261912, 3.29128, 0.5, 2, 2, -0.5, -0.5, 0.485692, 0.0158768
0.268196, 3.37025, 0.5, 2, 2, -0.5, -0.5, 0.485692, 0.0158768
0.271505, 3.41183, 0.5, 2, 2, -0.5, -0.5, 0.481114, -0.30159
0.276109, 3.46969, 0.5, 2, 2, -0.5, -0.5, 0.448688, -3.63492
0.279521, 3.51257, 0.5, 2, 2, -0.5, -0.5, 0.385745, -10.4286
0.282834, 3.55419, 0.5, 2, 2, -0.5, -0.5, 0.302965, -17.1587
0.287644, 3.61464, 0.5, 2, 2, -0.5, -0.5, 0.211411, -21.4762
0.289907, 3.64308, 0.5, 2, 2, -0.5, -0.5, 0.125197, -22.3651
0.296351, 3.72406, 0.5, 2, 2, -0.5, -0.5, 0.0576763, -19.7619
0.298901, 3.7561, 0.5, 2, 2, -0.5, -0.5, 0.011899, -15.0317
0.303675, 3.81609, 0.5, 2, 2, -0.5, -0.5, -0.0182372, -10.2381
0.305915, 3.84425, 0.5, 2, 2, -0.5, -0.5, -0.0415068, -7.06349
0.313271, 3.93667, 0.5, 2, 2, -0.5, -0.5, -0.0640145, -5.88889
0.313983, 3.94562, 0.5, 2, 2, -0.5, -0.5, -0.0899544, -6.01588
0.321105, 4.03512, 0.5, 2, 2, -0.5, -0.5, -0.11971, -6.80952
0.322775, 4.05611, 0.5, 2, 2, -0.5, -0.5, -0.152516, -7.57143
0.327625, 4.11706, 0.5, 2, 2, -0.5, -0.5, -0.185324, -7.98412
0.330809, 4.15707, 0.5, 2, 2, -0.5, -0.5, -0.21546, -8.01588
0.336184, 4.22461, 0.5, 2, 2, -0.5, -0.5, -0.244453, -7.63492
0.3388, 4.25749, 0.5, 2, 2, -0.5, -0.5, -0.266578, -6.55556
0.343898, 4.32155, 0.5, 2, 2, -0.5, -0.5, -0.284888, -5.19048
0.347887, 4.37168, 0.5, 2, 2, -0.5, -0.5, -0.298621, -4.04762
0.349922, 4.39725, 0.5, 2, 2, -0.5, -0.5, -0.310448, -3.31746
0.356407, 4.47874, 0.5, 2, 2, -0.5, -0.5, -0.321129, -2.96825
0.357913, 4.49767, 0.5, 2, 2, -0.5, -0.5, -0.332573, -2.87302
0.36373, 4.57076, 0.5, 2, 2, -0.5, -0.5, -0.344017, -2.80952
0.36778, 4.62165, 0.5, 2, 2, -0.5, -0.5, -0.354317, -2.61905
0.36997, 4.64919, 0.5, 2, 2, -0.5, -0.5, -0.363854, -2.55556
0.376193, 4.72738, 0.5, 2, 2, -0.5, -0.5, -0.374154, -2.52381
0.377919, 4.74907, 0.5, 2, 2, -0.5, -0.5, -0.384454, -2.49207
0.383583, 4.82024, 0.5, 2, 2, -0.5, -0.5, -0.392083, -2.26984
0.387789, 4.87309, 0.5, 2, 2, -0.5, -0.5, -0.402001, -2.2381
0.391769, 4.92311, 0.5, 2, 2, -0.5, -0.5, -0.409631, -2.14286
0.396129, 4.9779, 0.5, 2, 2, -0.5, -0.5, -0.418023, -2.01588
0.397921, 5.00042, 0.5, 2, 2, -0.5, -0.5, -0.426035, -1.95238
0.404394, 5.08176, 0.5, 2, 2, -0.5, -0.5, -0.431757, -1.7619
0.405931, 5.10108, 0.5, 2, 2, -0.5, -0.5, -0.436335, -1.4127
0.41298, 5.18965, 0.5, 2, 2, -0.5, -0.5, -0.440912, -1.09524
0.413922, 5.2015, 0.5, 2, 2, -0.5, -0.5, -0.444346, -1.06349
0.420898, 5.28916, 0.5, 2, 2, -0.5, -0.5, -0.446253, -0.746033
0.422762, 5.31258, 0.5, 2, 2, -0.5, -0.5, -0.447779, -0.396828
0.427785, 5.3757, 0.5, 2, 2, -0.5, -0.5, -0.449305, -0.365082
0.431052, 5.41676, 0.5, 2, 2, -0.5, -0.5, -0.450068, -0.30159
0.436031, 5.47933, 0.5, 2, 2, -0.5, -0.5, -0.451212, -0.238098
0.439475, 5.52261, 0.5, 2, 2, -0.5, -0.5, -0.452356, -0.269844
0.442713, 5.5633, 0.5, 2, 2, -0.5, -0.5, -0.45579, -0.492065
0.447683, 5.62575, 0.5, 2, 2, -0.5, -0.5, -0.460367, -0.873016
0.449915, 5.6538, 0.5, 2, 2, -0.5, -0.5, -0.463038, -0.873016
0.456378, 5.73502, 0.5, 2, 2, -0.5, -0.5, -0.467615, -0.904762
0.459649, 5.77612, 0.5, 2, 2, -0.5, -0.5, -0.47143, -1
0.463663, 5.82656, 0.5, 2, 2, -0.5, -0.5, -0.474482, -0.873016
0.467745, 5.87786, 0.5, 2, 2, -0.5, -0.5, -0.475626, -0.587303
0.472686, 5.93995, 0.5, 2, 2, -0.5, -0.5, -0.47677, -0.365082
0.473924, 5.95551, 0.5, 2, 2, -0.5, -0.5, -0.477533, -0.238098
0.482452, 6.06267, 0.5, 2, 2, -0.5, -0.5, -0.477533, -0.0793686
0.483211, 6.0722, 0.5, 2, 2, -0.5, -0.5, -0.47677, 0.0476227
0.487646, 6.12794, 0.5, 2, 2, -0.5, -0.5, -0.47677, 0.111115
0.489908, 6.15637, 0.5, 2, 2, -0.5, -0.5, -0.47677, 0.0793686
0.496666, 6.24128, 0.5, 2, 2, -0.5, -0.5, -0.47677, 0.0158768
0.497913, 6.25696, 0.5, 2, 2, -0.5, -0.5, -0.47677, -0.0158768
0.503711, 6.32981, 0.5, 2, 2, 0.5, 0.5, -0.477533, -0.0793686
0.507724, 6.38024, 0.5, 2, 2, 0.5, 0.5, -0.477915, -0.0793686
0.509922, 6.40787, 0.5, 2, 2, 0.5, 0.5, -0.478296, -0.111115
0.516735, 6.49348, 0.5, 2, 2, 0.5, 0.5, -0.478678, -0.111115
0.517912, 6.50828, 0.5, 2, 2, 0.5, 0.5, -0.479822, -0.14286
0.523597, 6.57971, 0.5, 2, 2, 0.5, 0.5, -0.474863, 0.269844
0.52592, 6.6089, 0.5, 2, 2, 0.5, 0.5, -0.441294, 3.73016
0.533696, 6.70662, 0.5, 2, 2, 0.5, 0.5, -0.377206, 10.6825
0.534417, 6.71568, 0.5, 2, 2, 0.5, 0.5, -0.292899, 17.4762
0.540126, 6.78742, 0.5, 2, 2, 0.5, 0.5, -0.201727, 21.5714
0.543561, 6.83059, 0.5, 2, 2, 0.5, 0.5, -0.11704, 22.2698
0.547651, 6.88198, 0.5, 2, 2, 0.5, 0.5, -0.0464659, 18.9683
0.550672, 6.91994, 0.5, 2, 2, 0.5, 0.5, -0.00870041, 14.5556
0.55634, 6.99118, 0.5, 2, 2, 0.5, 0.5, 0.0210552, 9.85714
0.559576, 7.03184, 0.5, 2, 2, 0.5, 0.5, 0.0443248, 7
0.56355, 7.08178, 0.5, 2, 2, 0.5, 0.5, 0.067976, 6.01587
0.567617, 7.13288, 0.5, 2, 2, 0.5, 0.5, 0.0939169, 6.07936
0.569913, 7.16174, 0.5, 2, 2, 0.5, 0.5, 0.124434, 6.90476
0.5766, 7.24577, 0.5, 2, 2, 0.5, 0.5, 0.156479, 7.79365
0.57792, 7.26236, 0.5, 2, 2, 0.5, 0.5, 0.19043, 8.07936
0.583629, 7.33409, 0.5, 2, 2, 0.5, 0.5, 0.221711, 8.14286
0.587641, 7.38451, 0.5, 2, 2, 0.5, 0.5, 0.249558, 7.66667
0.589918, 7.41313, 0.5, 2, 2, 0.5, 0.5, 0.271685, 6.52381
0.596347, 7.49392, 0.5, 2, 2, 0.5, 0.5, 0.288851, 5.19048
0.597919, 7.51368, 0.5, 2, 2, 0.5, 0.5, 0.303728, 4.1746
0.603577, 7.58477, 0.5, 2, 2, 0.5, 0.5, 0.315172, 3.38095
0.605913, 7.61413, 0.5, 2, 2, 0.5, 0.5, 0.326617, 3
0.61284, 7.70117, 0.5, 2, 2, 0.5, 0.5, 0.336917, 2.84127
0.613929, 7.71486, 0.5, 2, 2, 0.5, 0.5, 0.347598, 2.61905
0.622558, 7.82329, 0.5, 2, 2, 0.5, 0.5, 0.35599, 2.39682
0.623285, 7.83243, 0.5, 2, 2, 0.5, 0.5, 0.367053, 2.46032
0.627577, 7.88636, 0.5, 2, 2, 0.5, 0.5, 0.377353, 2.61905
0.632479, 7.94796, 0.5, 2, 2, 0.5, 0.5, 0.386508, 2.46032
0.635947, 7.99154, 0.5, 2, 2, 0.5, 0.5, 0.399479, 2.39682
0.638701, 8.02615, 0.5, 2, 2, 0.5, 0.5, 0.406345, 2.49206
0.6435, 8.08646, 0.5, 2, 2, 0.5, 0.5, 0.413975, 2.20635
0.647644, 8.13854, 0.5, 2, 2, 0.5, 0.5, 0.422367, 2.04762
0.649931, 8.16728, 0.5, 2, 2, 0.5, 0.5, 0.428471, 1.8254
0.656033, 8.24396, 0.5, 2, 2, 0.5, 0.5, 0.435718, 1.69841
0.659599, 8.28876, 0.5, 2, 2, 0.5, 0.5, 0.439152, 1.4127
0.662685, 8.32755, 0.5, 2, 2, 0.5, 0.5, 0.442966, 1
0.667582, 8.38908, 0.5, 2, 2, 0.5, 0.5, 0.446018, 0.904762
0.672254, 8.4478, 0.5, 2, 2, 0.5, 0.5, 0.449833, 0.84127
0.676066, 8.4957, 0.5, 2, 2, 0.5, 0.5, 0.452123, 0.746033
0.677915, 8.51894, 0.5, 2, 2, 0.5, 0.5, 0.453267, 0.492065
0.683536, 8.58957, 0.5, 2, 2, 0.5, 0.5, 0.454411, 0.365082
0.687698, 8.64187, 0.5, 2, 2, 0.5, 0.5, 0.4567, 0.46032
0.691562, 8.69042, 0.5, 2, 2, 0.5, 0.5, 0.459371, 0.587303
0.696577, 8.75345, 0.5, 2, 2, 0.5, 0.5, 0.461659, 0.650795
0.697931, 8.77046, 0.5, 2, 2, 0.5, 0.5, 0.46433, 0.619049
0.703474, 8.84011, 0.5, 2, 2, 0.5, 0.5, 0.466618, 0.619049
0.707637, 8.89242, 0.5, 2, 2, 0.5, 0.5, 0.468526, 0.492065
0.712365, 8.95184, 0.5, 2, 2, 0.5, 0.5, 0.471578, 0.587303
0.715866, 8.99584, 0.5, 2, 2, 0.5, 0.5, 0.475011, 0.809525
0.718708, 9.03155, 0.5, 2, 2, 0.5, 0.5, 0.478444, 0.809525
0.723534, 9.0922, 0.5, 2, 2, 0.5, 0.5, 0.480351, 0.746033
0.727698, 9.14453, 0.5, 2, 2, 0.5, 0.5, 0.481114, 0.492065
0.729964, 9.173, 0.5, 2, 2, 0.5, 0.5, 0.481496, 0.174606
0.736092, 9.25, 0.5, 2, 2, 0.5, 0.5, 0.481114, 0.0158768
0.739528, 9.29319, 0.5, 2, 2, 0.5, 0.5, 0.480733, -0.0476227
0.742711, 9.33318, 0.5, 2, 2, 0.5, 0.5, 0.480733, -0.0476227
0.747609, 9.39474, 0.5, 2, 2, 0.5, 0.5, 0.481114, 0.0158768
0.752395, 9.45488, 0.5, 2, 2, -0.5, -0.5, 0.481877, 0.14286
0.753938, 9.47426, 0.5, 2, 2, -0.5, -0.5, 0.48264, 0.174606
