time_since_fade_in (s),phase_,amp (rad),freq (Hz),motor_idx,policy_output,command (rad),motor_position (rad),motor_velocity (rad/s)
0.00405671,0.0254891,0.2,1,1,0.00509726,0.00509726,0.00801571,0.0476227
0.00482387,0.0303093,0.2,1,1,0.00606093,0.00606093,0.00763424,0.0476227
0.00941503,0.0591563,0.2,1,1,0.0118244,0.0118244,0.00763424,-0.0158768
0.0134218,0.0843317,0.2,1,1,0.0168463,0.0168463,0.00763424,-0.0158768
0.0174797,0.109828,0.2,1,1,0.0219216,0.0219216,0.00763424,0.0158768
0.0197175,0.123889,0.2,1,1,0.0247144,0.0247144,0.00763424,0.0158768
0.0274968,0.172767,0.2,1,1,0.0343818,0.0343818,0.00763424,0.0158768
0.0282237,0.177334,0.2,1,1,0.0352813,0.0352813,0.00801571,0.0476227
0.0325134,0.204288,0.2,1,1,0.040574,0.040574,0.00801571,0.0476227
0.0374349,0.235211,0.2,1,1,0.0466096,0.0466096,0.00801571,0.0158768
0.0397126,0.249522,0.2,1,1,0.0493881,0.0493881,0.00801571,0.0158768
0.0465427,0.292436,0.2,1,1,0.0576572,0.0576572,0.00801571,0.0158768
0.0477185,0.299824,0.2,1,1,0.0590704,0.0590704,0.00877865,0.0793686
0.0535586,0.336519,0.2,1,1,0.0660406,0.0660406,0.010686,0.238098
0.0574511,0.360976,0.2,1,1,0.0706375,0.0706375,0.0125933,0.428574
0.0597164,0.37521,0.2,1,1,0.0732935,0.0732935,0.0152636,0.650795
0.0673428,0.423127,0.2,1,1,0.0821228,0.0821228,0.017171,0.587303
0.0681306,0.428077,0.2,1,1,0.0830244,0.0830244,0.0186969,0.46032
0.0738267,0.463867,0.2,1,1,0.0894819,0.0894819,0.0213671,0.523811
0.0775106,0.487013,0.2,1,1,0.0935977,0.0935977,0.0244189,0.650795
0.0796965,0.500748,0.2,1,1,0.0960164,0.0960164,0.0297595,0.968254
0.0861211,0.541115,0.2,1,1,0.103018,0.103018,0.0328112,1.12698
0.087708,0.551086,0.2,1,1,0.104722,0.104722,0.0373898,1.06349
0.0939848,0.590524,0.2,1,1,0.111359,0.111359,0.0412045,1
0.0956917,0.601248,0.2,1,1,0.113134,0.113134,0.0446378,0.968254
0.101898,0.640246,0.2,1,1,0.119479,0.119479,0.0476895,0.904762
0.106299,0.667897,0.2,1,1,0.123867,0.123867,0.0518857,0.873016
0.107695,0.676668,0.2,1,1,0.12524,0.12524,0.0560818,0.968254
0.113628,0.713946,0.2,1,1,0.130964,0.130964,0.0606595,1.15873
