time_since_fade_in (s),phase_,amp (rad),freq (Hz),motor_idx,policy_output,command (rad),motor_position (rad),motor_velocity (rad/s)
0.00236868,0.0148829,0.2,1,1,0.00297647,0.00297647,0.00763424,0.0158768
0.00724463,0.0455194,0.2,1,1,0.00910073,0.00910073,0.00763424,0.0158768
0.0112938,0.070961,0.2,1,1,0.0141803,0.0141803,0.00763424,0.0158768
0.0159811,0.100412,0.2,1,1,0.0200487,0.0200487,0.00763424,0.0158768
0.0183575,0.115343,0.2,1,1,0.0230176,0.0230176,0.00763424,0.0158768
0.0233458,0.146686,0.2,1,1,0.0292321,0.0292321,0.00763424,0.0158768
0.0256056,0.160885,0.2,1,1,0.0320383,0.0320383,0.00763424,0.0158768
0.0331451,0.208257,0.2,1,1,0.041351,0.041351,0.00763424,0.0476227
0.0338796,0.212872,0.2,1,1,0.0422535,0.0422535,0.00763424,0.0476227
0.0401188,0.252074,0.2,1,1,0.0498826,0.0498826,0.00763424,0.0158768
0.0441197,0.277212,0.2,1,1,0.054735,0.054735,0.00763424,0.0158768
0.0456086,0.286567,0.2,1,1,0.0565322,0.0565322,0.00763424,0.0158768
0.0529819,0.332895,0.2,1,1,0.0653561,0.0653561,0.00801571,0.0476227
0.0536881,0.337332,0.2,1,1,0.0661941,0.0661941,0.00839718,0.0793686
0.0609877,0.383197,0.2,1,1,0.0747775,0.0747775,0.00916012,0.14286
0.0616991,0.387667,0.2,1,1,0.0756059,0.0756059,0.010686,0.269844
0.0672656,0.422642,0.2,1,1,0.0820344,0.0820344,0.0114489,0.30159
0.0711775,0.447221,0.2,1,1,0.0864924,0.0864924,0.0125933,0.269844
0.0761452,0.478435,0.2,1,1,0.092078,0.092078,0.0145007,0.333336
0.0776027,0.487592,0.2,1,1,0.0936999,0.0936999,0.0156451,0.396828
0.0836972,0.525885,0.2,1,1,0.100396,0.100396,0.0175525,0.396828
0.0874564,0.549505,0.2,1,1,0.104453,0.104453,0.0190783,0.428574
0.0904538,0.568338,0.2,1,1,0.107646,0.107646,0.0213671,0.492065
0.0943891,0.593064,0.2,1,1,0.111781,0.111781,0.023656,0.587303
0.100671,0.632534,0.2,1,1,0.118238,0.118238,0.0274707,0.714287
0.102363,0.643164,0.2,1,1,0.119946,0.119946,0.0309039,0.904762
0.107233,0.673766,0.2,1,1,0.124787,0.124787,0.0343381,0.873016
0.110358,0.6934,0.2,1,1,0.127831,0.127831,0.0370084,0.746033
0.116145,0.729762,0.2,1,1,0.133338,0.133338,0.0396786,0.682541
0.117609,0.73896,0.2,1,1,0.134704,0.134704,0.041586,0.619049
0.123662,0.77699,0.2,1,1,0.140227,0.140227,0.0442563,0.619049
0.125604,0.789191,0.2,1,1,0.141957,0.141957,0.0469266,0.650795
0.131854,0.828461,0.2,1,1,0.147378,0.147378,0.0492154,0.619049
0.133604,0.83946,0.2,1,1,0.148857,0.148857,0.0518857,0.682541
0.140993,0.885882,0.2,1,1,0.154895,0.154895,0.0549374,0.746033
0.141697,0.890308,0.2,1,1,0.155453,0.155453,0.0583707,0.809525
0.147928,0.929457,0.2,1,1,0.160259,0.160259,0.061041,0.746033
0.152273,0.956759,0.2,1,1,0.163466,0.163466,0.0633298,0.619049
0.153602,0.96511,0.2,1,1,0.164422,0.164422,0.0660001,0.619049
0.161694,1.01595,0.2,1,1,0.169997,0.169997,0.0690518,0.714287
0.1624,1.02039,0.2,1,1,0.170462,0.170462,0.073248,0.873016
0.167257,1.0509,0.2,1,1,0.173575,0.173575,0.0766812,0.968254
0.170407,1.0707,0.2,1,1,0.175507,0.175507,0.0793515,0.84127
0.176199,1.10709,0.2,1,1,0.17888,0.17888,0.0831662,0.777779
0.177599,1.11589,0.2,1,1,0.17966,0.17966,0.085455,0.777779
0.183612,1.15367,0.2,1,1,0.182851,0.182851,0.0888882,0.809525
0.1856,1.16616,0.2,1,1,0.183849,0.183849,0.0911771,0.777779
0.192633,1.21035,0.2,1,1,0.187148,0.187148,0.0942288,0.682541
0.1936,1.21643,0.2,1,1,0.187573,0.187573,0.0972815,0.746033
0.200977,1.26278,0.2,1,1,0.190587,0.190587,0.0999518,0.746033
0.201696,1.2673,0.2,1,1,0.190859,0.190859,0.102622,0.650795
0.208404,1.30944,0.2,1,1,0.193208,0.193208,0.104911,0.619049
0.211344,1.32791,0.2,1,1,0.19413,0.19413,0.106818,0.555557
0.215841,1.35617,0.2,1,1,0.195411,0.195411,0.10987,0.587303
