time_since_fade_in (s),phase_,amp (rad),freq (Hz),motor_idx,policy_output,command (rad),motor_position (rad),motor_velocity (rad/s)
0.00358515, 0.0450523, 0.5, 2, 2, 0.5, 0.5, 0.0263958, -0.333336
0.0075936, 0.095424, 0.5, 2, 2, 0.5, 0.5, 0.0260143, -0.174606
0.0115883, 0.145623, 0.5, 2, 2, 0.5, 0.5, 0.0260143, -0.0158768
0.0155871, 0.195874, 0.5, 2, 2, 0.5, 0.5, 0.0263958, 0.0476227
0.019586, 0.246125, 0.5, 2, 2, 0.5, 0.5, 0.0263958, 0.0476227
0.0235875, 0.29641, 0.5, 2, 2, 0.5, 0.5, 0.0286846, 0.206352
0.0275859, 0.346655, 0.5, 2, 2, 0.5, 0.5, 0.0439434, 1.88889
0.0315871, 0.396936, 0.5, 2, 2, 0.5, 0.5, 0.0744609, 5.28571
0.0355854, 0.44718, 0.5, 2, 2, 0.5, 0.5, 0.114516, 8.49206
0.0395842, 0.49743, 0.5, 2, 2, 0.5, 0.5, 0.157623, 10.3333
0.0435861, 0.547719, 0.5, 2, 2, 0.5, 0.5, 0.198822, 10.6508
0.0475883, 0.598012, 0.5, 2, 2, 0.5, 0.5, 0.233918, 9.63492
0.0515861, 0.648251, 0.5, 2, 2, 0.5, 0.5, 0.256806, 7.50794
0.0555855, 0.698508, 0.5, 2, 2, 0.5, 0.5, 0.27321, 5.25397
0.0595933, 0.748871, 0.5, 2, 2, 0.5, 0.5, 0.285799, 3.73016
0.0635949, 0.799157, 0.5, 2, 2, 0.5, 0.5, 0.29648, 3
0.0675866, 0.849318, 0.5, 2, 2, 0.5, 0.5, 0.307924, 2.80952
0.0715824, 0.89953, 0.5, 2, 2, 0.5, 0.5, 0.317842, 2.61905
0.0755828, 0.949801, 0.5, 2, 2, 0.5, 0.5, 0.329669, 2.71429
0.079589, 1.00014, 0.5, 2, 2, 0.5, 0.5, 0.342639, 3.12698
0.0835876, 1.05039, 0.5, 2, 2, 0.5, 0.5, 0.356372, 3.34921
0.0875863, 1.10064, 0.5, 2, 2, 0.5, 0.5, 0.369342, 3.38095
0.0915858, 1.1509, 0.5, 2, 2, 0.5, 0.5, 0.382312, 3.25397
0.0955854, 1.20116, 0.5, 2, 2, 0.5, 0.5, 0.393757, 3.06349
0.0995862, 1.25144, 0.5, 2, 2, 0.5, 0.5, 0.403675, 2.68254
0.103587, 1.30171, 0.5, 2, 2, 0.5, 0.5, 0.41283, 2.42857
0.107586, 1.35196, 0.5, 2, 2, 0.5, 0.5, 0.42046, 2.1746
0.111586, 1.40223, 0.5, 2, 2, 0.5, 0.5, 0.425419, 1.63492
0.115586, 1.45249, 0.5, 2, 2, 0.5, 0.5, 0.430378, 1.28571
0.119587, 1.50277, 0.5, 2, 2, 0.5, 0.5, 0.434956, 1.15873
0.123586, 1.55302, 0.5, 2, 2, 0.5, 0.5, 0.436863, 0.873016
0.127588, 1.60332, 0.5, 2, 2, 0.5, 0.5, 0.437626, 0.46032
0.131586, 1.65356, 0.5, 2, 2, 0.5, 0.5, 0.43877, 0.269844
0.135586, 1.70382, 0.5, 2, 2, 0.5, 0.5, 0.439915, 0.269844
0.139587, 1.7541, 0.5, 2, 2, 0.5, 0.5, 0.443348, 0.587303
0.143587, 1.80436, 0.5, 2, 2, 0.5, 0.5, 0.449451, 1.12698
0.147585, 1.85461, 0.5, 2, 2, 0.5, 0.5, 0.454411, 1.34921
0.151585, 1.90488, 0.5, 2, 2, 0.5, 0.5, 0.460134, 1.38095
0.155585, 1.95514, 0.5, 2, 2, 0.5, 0.5, 0.46433, 1.28571
0.159586, 2.00541, 0.5, 2, 2, 0.5, 0.5, 0.467381, 0.936508
0.163586, 2.05568, 0.5, 2, 2, 0.5, 0.5, 0.46967, 0.650795
0.167587, 2.10596, 0.5, 2, 2, 0.5, 0.5, 0.472341, 0.619049
0.171586, 2.15621, 0.5, 2, 2, 0.5, 0.5, 0.474248, 0.650795
0.175586, 2.20648, 0.5, 2, 2, 0.5, 0.5, 0.476155, 0.492065
0.179585, 2.25673, 0.5, 2, 2, 0.5, 0.5, 0.476918, 0.365082
0.183586, 2.30701, 0.5, 2, 2, 0.5, 0.5, 0.4773, 0.206352
0.187584, 2.35725, 0.5, 2, 2, 0.5, 0.5, 0.4773, 0.0793686
0.191587, 2.40755, 0.5, 2, 2, 0.5, 0.5, 0.4773, 0.0158768
0.195585, 2.4578, 0.5, 2, 2, 0.5, 0.5, 0.477681, 0.0476227
0.199588, 2.50809, 0.5, 2, 2, 0.5, 0.5, 0.478826, 0.206352
0.203585, 2.55832, 0.5, 2, 2, 0.5, 0.5, 0.479588, 0.269844
0.207598, 2.60875, 0.5, 2, 2, 0.5, 0.5, 0.480351, 0.174606
0.211595, 2.65898, 0.5, 2, 2, 0.5, 0.5, 0.480733, 0.14286
0.215586, 2.70914, 0.5, 2, 2, 0.5, 0.5, 0.480733, 0.0793686
0.219588, 2.75942, 0.5, 2, 2, 0.5, 0.5, 0.481496, 0.111115
0.223588, 2.8097, 0.5, 2, 2, 0.5, 0.5, 0.481877, 0.111115
0.227587, 2.85995, 0.5, 2, 2, 0.5, 0.5, 0.482259, 0.14286
0.231586, 2.91019, 0.5, 2, 2, 0.5, 0.5, 0.482259, 0.111115
0.235586, 2.96046, 0.5, 2, 2, 0.5, 0.5, 0.483403, 0.14286
0.239586, 3.01072, 0.5, 2, 2, 0.5, 0.5, 0.484166, 0.238098
0.243587, 3.061, 0.5, 2, 2, 0.5, 0.5, 0.485311, 0.238098
