time_since_fade_in (s),phase_,amp (rad),freq (Hz),motor_idx,policy_output,command (rad),motor_position (rad),motor_velocity (rad/s)
0.0035979, 0.0452126, 0.5, 2, 2, 0.5, 0.5, -0.00401611, 0.000386569
0.00768116, 0.0965243, 0.5, 2, 2, 0.5, 0.5, 0.00231977, 3.00212
0.0115889, 0.145631, 0.5, 2, 2, 0.5, 0.5, 0.0223297, 5.82858
0.0157736, 0.198217, 0.5, 2, 2, 0.5, 0.5, 0.0479506, 7.111
0.0197255, 0.247877, 0.5, 2, 2, 0.5, 0.5, 0.0791615, 7.62687
0.0238635, 0.299877, 0.5, 2, 2, 0.5, 0.5, 0.112095, 7.62598
0.0275885, 0.346688, 0.5, 2, 2, 0.5, 0.5, 0.144319, 7.3352
0.0317209, 0.398616, 0.5, 2, 2, 0.5, 0.5, 0.168687, 6.99802
0.0360865, 0.453477, 0.5, 2, 2, 0.5, 0.5, 0.199664, 6.47392
0.0404408, 0.508194, 0.5, 2, 2, 0.5, 0.5, 0.225185, 5.98684
0.0437298, 0.549525, 0.5, 2, 2, 0.5, 0.5, 0.246509, 5.55322
0.0476291, 0.598525, 0.5, 2, 2, 0.5, 0.5, 0.262639, 5.2133
0.0517975, 0.650906, 0.5, 2, 2, 0.5, 0.5, 0.284501, 4.74032
0.0556197, 0.698938, 0.5, 2, 2, 0.5, 0.5, 0.303928, 4.31122
0.0595716, 0.748599, 0.5, 2, 2, 0.5, 0.5, 0.320013, 3.95141
0.0635708, 0.798854, 0.5, 2, 2, 0.5, 0.5, 0.33475, 3.61906
0.0675875, 0.849329, 0.5, 2, 2, 0.5, 0.5, 0.347913, 3.32052
0.0716965, 0.900965, 0.5, 2, 2, 0.5, 0.5, 0.3615, 3.01115
0.0756677, 0.950868, 0.5, 2, 2, 0.5, 0.5, 0.37382, 2.72989
0.0796531, 1.00095, 0.5, 2, 2, 0.5, 0.5, 0.384243, 2.49152
0.0835723, 1.0502, 0.5, 2, 2, 0.5, 0.5, 0.393983, 2.26858
