time_since_fade_in (s),phase_,amp (rad),freq (Hz),motor_idx,policy_output,command (rad),motor_position (rad),motor_velocity (rad/s)
0.0037707,0.023692,0.5,1,0,0.0118449,0.0118449,0.0245501,-0.00692152
0.00782386,0.0491588,0.5,1,0,0.0245695,0.0245695,0.0245799,0.0257316
0.0127219,0.0799339,0.5,1,0,0.0399244,0.0399244,0.0250109,0.142097
0.0159073,0.0999488,0.5,1,0,0.0498912,0.0498912,0.0259154,0.296358
0.0199112,0.125106,0.5,1,0,0.0623899,0.0623899,0.0274469,0.454518
0.0246793,0.155064,0.5,1,0,0.0772218,0.0772218,0.0294546,0.615656
0.0282049,0.177217,0.5,1,0,0.0881453,0.0881453,0.03259,0.821267
0.0318606,0.200186,0.5,1,0,0.0994258,0.0994258,0.0353786,0.964334
0.0367289,0.230774,0.5,1,0,0.114366,0.114366,0.0415055,1.19163
0.0405006,0.254473,0.5,1,0,0.125868,0.125868,0.0463576,1.34446
0.0445626,0.279995,0.5,1,0,0.138176,0.138176,0.0516239,1.48531
0.0477987,0.300328,0.5,1,0,0.147917,0.147917,0.0556361,1.59006
0.0526745,0.330964,0.5,1,0,0.162477,0.162477,0.0647574,1.76192
0.0559969,0.351839,0.5,1,0,0.172312,0.172312,0.0718977,1.88204
0.059819,0.375854,0.5,1,0,0.183534,0.183534,0.0792635,1.97883
0.0646318,0.406094,0.5,1,0,0.197512,0.197512,0.088639,2.07658
0.0682517,0.428838,0.5,1,0,0.207907,0.207907,0.0949941,2.14916
0.0719329,0.451968,0.5,1,0,0.218368,0.218368,0.103573,2.23393
0.0758144,0.476356,0.5,1,0,0.229272,0.229272,0.11268,2.30349
0.0797794,0.501269,0.5,1,0,0.240269,0.240269,0.12204,2.3608
0.0837555,0.526252,0.5,1,0,0.251148,0.251148,0.13209,2.40902
0.0878594,0.552037,0.5,1,0,0.262211,0.262211,0.142561,2.44528
0.0919235,0.577572,0.5,1,0,0.272996,0.272996,0.152671,2.47246
0.0966739,0.60742,0.5,1,0,0.285375,0.285375,0.163628,2.49233
0.100503,0.631477,0.5,1,0,0.295169,0.295169,0.174171,2.51362
0.103788,0.652121,0.5,1,0,0.303437,0.303437,0.180733,2.5282
0.107876,0.677802,0.5,1,0,0.313541,0.313541,0.190899,2.5424
0.111925,0.703247,0.5,1,0,0.323349,0.323349,0.20111,2.55053
0.115925,0.728381,0.5,1,0,0.332831,0.332831,0.210829,2.55399
0.119945,0.753636,0.5,1,0,0.342147,0.342147,0.22132,2.55133
0.123926,0.778648,0.5,1,0,0.351159,0.351159,0.231274,2.54327
0.128076,0.804728,0.5,1,0,0.360321,0.360321,0.244217,2.51589
