time_since_fade_in (s),phase_,amp (rad),freq (Hz),motor_idx,policy_output,command (rad),motor_position (rad),motor_velocity (rad/s)
0.00390775,0.0245531,0.5,1,0,0.0122753,0.0122753,0.0245068,-0.00599563
0.0080727,0.0507223,0.5,1,0,0.0253503,0.0253503,0.0245106,0.00671853
0.0118081,0.0741928,0.5,1,0,0.0370624,0.0370624,0.0248205,0.129908
0.0159475,0.100201,0.5,1,0,0.0500168,0.0500168,0.025664,0.298928
0.0200595,0.126037,0.5,1,0,0.062852,0.062852,0.0270966,0.50154
0.0239743,0.150635,0.5,1,0,0.0750329,0.0750329,0.0296721,0.760414
0.0279117,0.175374,0.5,1,0,0.0872383,0.0872383,0.033493,1.0295
0.0320647,0.201468,0.5,1,0,0.100054,0.100054,0.0386745,1.2933
0.0360493,0.226504,0.5,1,0,0.112286,0.112286,0.0445135,1.52542
0.0399143,0.250789,0.5,1,0,0.124084,0.124084,0.0514389,1.74177
0.0438327,0.275409,0.5,1,0,0.13597,0.13597,0.0569162,1.89135
0.0480455,0.301879,0.5,1,0,0.148657,0.148657,0.0653363,2.0867
0.0520438,0.327001,0.5,1,0,0.160602,0.160602,0.0745185,2.25522
0.0558943,0.351194,0.5,1,0,0.17201,0.17201,0.0843394,2.39229
0.0599489,0.37667,0.5,1,0,0.183913,0.183913,0.0946656,2.49768
0.0638739,0.401331,0.5,1,0,0.195322,0.195322,0.105129,2.58107
0.0680663,0.427673,0.5,1,0,0.207377,0.207377,0.116156,2.64481
0.0720487,0.452696,0.5,1,0,0.218696,0.218696,0.123917,2.6943
0.0758472,0.476562,0.5,1,0,0.229363,0.229363,0.135699,2.75895
0.0797938,0.501359,0.5,1,0,0.240309,0.240309,0.146846,2.79285
0.083876,0.527009,0.5,1,0,0.251475,0.251475,0.158662,2.8111
0.087974,0.552757,0.5,1,0,0.262518,0.262518,0.170243,2.8174
0.0919094,0.577484,0.5,1,0,0.272959,0.272959,0.18155,2.81689
0.0958098,0.601991,0.5,1,0,0.283142,0.283142,0.193116,2.80613
0.0999675,0.628114,0.5,1,0,0.29381,0.29381,0.204894,2.78343
0.103852,0.652521,0.5,1,0,0.303596,0.303596,0.216292,2.75854
0.108052,0.67891,0.5,1,0,0.313973,0.313973,0.227842,2.72401
0.112085,0.70425,0.5,1,0,0.323731,0.323731,0.237899,2.69833
0.116072,0.729303,0.5,1,0,0.333175,0.333175,0.248937,2.66913
0.119805,0.752757,0.5,1,0,0.341827,0.341827,0.256402,2.65577
0.123795,0.777827,0.5,1,0,0.350867,0.350867,0.2678,2.62875
0.127791,0.802934,0.5,1,0,0.359698,0.359698,0.278796,2.59138
0.131794,0.828089,0.5,1,0,0.36832,0.36832,0.28987,2.54322
0.135951,0.854202,0.5,1,0,0.377024,0.377024,0.300221,2.49197
0.140032,0.879847,0.5,1,0,0.385321,0.385321,0.310605,2.43896
0.143838,0.90376,0.5,1,0,0.392829,0.392829,0.320522,2.38548
0.147884,0.929186,0.5,1,0,0.400566,0.400566,0.330206,2.32672
0.152092,0.955624,0.5,1,0,0.408337,0.408337,0.339196,2.2729
0.155917,0.979658,0.5,1,0,0.415153,0.415153,0.347763,2.22608
0.159997,1.00529,0.5,1,0,0.422159,0.422159,0.355713,2.18182
0.163891,1.02976,0.5,1,0,0.428587,0.428587,0.363725,2.13973
0.167922,1.05509,0.5,1,0,0.434972,0.434972,0.374283,2.0679
0.171939,1.08033,0.5,1,0,0.441055,0.441055,0.38043,2.02536
0.175793,1.10454,0.5,1,0,0.446628,0.446628,0.388642,1.97088
0.179879,1.13021,0.5,1,0,0.452251,0.452251,0.396806,1.90744
0.183996,1.15608,0.5,1,0,0.457615,0.457615,0.403958,1.84972
0.187847,1.18028,0.5,1,0,0.462356,0.462356,0.410713,1.79564
0.191883,1.20563,0.5,1,0,0.467033,0.467033,0.418305,1.72748
0.196005,1.23154,0.5,1,0,0.471501,0.471501,0.425261,1.65901
0.199982,1.25652,0.5,1,0,0.47551,0.47551,0.431774,1.5919
0.203891,1.28109,0.5,1,0,0.479163,0.479163,0.438924,1.51006
0.208023,1.30705,0.5,1,0,0.482709,0.482709,0.445254,1.42958
0.212041,1.33229,0.5,1,0,0.485846,0.485846,0.450561,1.36075
0.216111,1.35787,0.5,1,0,0.488708,0.488708,0.456254,1.28333
0.220027,1.38247,0.5,1,0,0.491159,0.491159,0.461128,1.21365
0.224057,1.40779,0.5,1,0,0.493372,0.493372,0.465844,1.14228
0.227913,1.43202,0.5,1,0,0.495193,0.495193,0.469845,1.07915
0.231979,1.45757,0.5,1,0,0.496798,0.496798,0.474324,1.00264
0.23602,1.48296,0.5,1,0,0.498072,0.498072,0.478285,0.928901
0.239923,1.50748,0.5,1,0,0.498998,0.498998,0.481426,0.866297
0.243874,1.5323,0.5,1,0,0.49963,0.49963,0.484747,0.794318
0.247835,1.55719,0.5,1,0,0.499954,0.499954,0.487849,0.719567
0.25184,1.58236,0.5,1,0,0.499967,0.499967,0.490705,0.642235
