time_since_fade_in (s),phase_,amp (rad),freq (Hz),motor_idx,policy_output,command (rad),motor_position (rad),motor_velocity (rad/s)
0.000131443,0.000825881,0.5,1,0,0.00041294,0.00041294,0.0238567,-0.00553954
0.00414407,0.026038,0.5,1,0,0.0130175,0.0130175,0.0236166,-0.107624
0.00778832,0.0489355,0.5,1,0,0.024458,0.024458,0.0233772,-0.0122165
0.0117612,0.0738981,0.5,1,0,0.0369154,0.0369154,0.023892,0.219511
0.0161165,0.101263,0.5,1,0,0.0505448,0.0505448,0.0256146,0.510279
0.0201918,0.126869,0.5,1,0,0.0632645,0.0632645,0.0285891,0.813998
0.023736,0.149137,0.5,1,0,0.0742926,0.0742926,0.0312186,1.03087
0.0281434,0.17683,0.5,1,0,0.0879551,0.0879551,0.0374615,1.33483
0.0316762,0.199028,0.5,1,0,0.0988581,0.0988581,0.043185,1.54868
0.0356772,0.224166,0.5,1,0,0.111147,0.111147,0.0498284,1.72299
0.0396451,0.249098,0.5,1,0,0.123265,0.123265,0.0567672,1.88212
0.0436544,0.274289,0.5,1,0,0.135431,0.135431,0.0622658,2.01508
0.0482074,0.302896,0.5,1,0,0.149143,0.149143,0.0748385,2.17409
0.0521939,0.327944,0.5,1,0,0.161048,0.161048,0.0813296,2.27305
0.0558489,0.350909,0.5,1,0,0.171876,0.171876,0.0907802,2.39914
0.0597466,0.375399,0.5,1,0,0.183322,0.183322,0.100868,2.47288
0.0639483,0.401799,0.5,1,0,0.195537,0.195537,0.111457,2.52193
0.0681349,0.428104,0.5,1,0,0.207573,0.207573,0.121471,2.57087
0.0721044,0.453045,0.5,1,0,0.218853,0.218853,0.13377,2.60451
0.0758654,0.476676,0.5,1,0,0.229414,0.229414,0.142718,2.6283
0.0798905,0.501967,0.5,1,0,0.240575,0.240575,0.154149,2.64172
0.0836489,0.525581,0.5,1,0,0.250858,0.250858,0.164543,2.65055
0.0876371,0.55064,0.5,1,0,0.261616,0.261616,0.175217,2.64794
0.0916376,0.575776,0.5,1,0,0.272243,0.272243,0.182692,2.66925
0.0956557,0.601022,0.5,1,0,0.282743,0.282743,0.194058,2.69592
0.099801,0.627068,0.5,1,0,0.293387,0.293387,0.204922,2.69647
0.104,0.653448,0.5,1,0,0.303964,0.303964,0.216847,2.67921
0.108173,0.679671,0.5,1,0,0.314269,0.314269,0.230503,2.62289
0.111652,0.70153,0.5,1,0,0.322693,0.322693,0.237074,2.61932
0.116131,0.729673,0.5,1,0,0.333313,0.333313,0.251196,2.5575
0.120146,0.754897,0.5,1,0,0.342607,0.342607,0.25863,2.55039
0.124175,0.780216,0.5,1,0,0.351716,0.351716,0.269641,2.53461
0.127682,0.802252,0.5,1,0,0.359462,0.359462,0.279538,2.50929
0.132052,0.829709,0.5,1,0,0.368868,0.368868,0.291004,2.43971
0.135856,0.853611,0.5,1,0,0.376829,0.376829,0.300732,2.39547
0.140219,0.881021,0.5,1,0,0.385694,0.385694,0.310974,2.33702
0.144214,0.906126,0.5,1,0,0.39356,0.39356,0.320068,2.3001
0.148154,0.930881,0.5,1,0,0.401073,0.401073,0.326971,2.28489
0.152163,0.956068,0.5,1,0,0.408465,0.408465,0.336798,2.25209
0.156066,0.980589,0.5,1,0,0.415413,0.415413,0.345987,2.20356
0.160146,1.00623,0.5,1,0,0.422409,0.422409,0.355168,2.14265
0.164076,1.03092,0.5,1,0,0.428887,0.428887,0.364088,2.08034
0.168557,1.05907,0.5,1,0,0.435951,0.435951,0.372934,2.01035
0.171727,1.07899,0.5,1,0,0.440741,0.440741,0.378746,1.98609
0.176186,1.10701,0.5,1,0,0.447182,0.447182,0.387008,1.92566
0.180168,1.13203,0.5,1,0,0.452638,0.452638,0.395397,1.86369
0.184534,1.15946,0.5,1,0,0.458294,0.458294,0.403478,1.78928
0.18767,1.17916,0.5,1,0,0.462143,0.462143,0.408457,1.75808
0.192564,1.20991,0.5,1,0,0.467793,0.467793,0.418403,1.64227
0.196203,1.23278,0.5,1,0,0.471707,0.471707,0.423122,1.60447
0.200196,1.25787,0.5,1,0,0.475718,0.475718,0.429919,1.54009
0.203796,1.28049,0.5,1,0,0.479078,0.479078,0.435974,1.47527
0.208207,1.3082,0.5,1,0,0.48286,0.48286,0.441754,1.40421
0.2122,1.33329,0.5,1,0,0.485964,0.485964,0.447132,1.34328
0.215841,1.35617,0.5,1,0,0.488528,0.488528,0.452648,1.27334
0.220041,1.38256,0.5,1,0,0.491168,0.491168,0.457851,1.19621
0.224254,1.40903,0.5,1,0,0.493472,0.493472,0.462735,1.12212
0.228171,1.43364,0.5,1,0,0.495304,0.495304,0.465712,1.08048
0.231754,1.45616,0.5,1,0,0.496718,0.496718,0.470222,1.01066
0.2362,1.48409,0.5,1,0,0.498122,0.498122,0.474499,0.929394
0.240143,1.50886,0.5,1,0,0.499041,0.499041,0.478334,0.851297
