time_since_fade_in (s),phase_,amp (rad),freq (Hz),motor_idx,policy_output,command (rad),motor_position (rad),motor_velocity (rad/s)
4.2671e-05,0.00026811,0.5,1,2,0.000134055,0.000134055,-0.00410742,0.000181491
0.00410735,0.0258072,0.5,1,2,0.0129022,0.0129022,-0.00410451,0.0017315
0.00800952,0.0503253,0.5,1,2,0.025152,0.025152,-0.00392987,0.0670655
0.0121631,0.0764231,0.5,1,2,0.0381744,0.0381744,-0.00362648,0.138189
0.0160282,0.100708,0.5,1,2,0.0502689,0.0502689,-0.00246484,0.30857
0.0200015,0.125673,0.5,1,2,0.0626713,0.0626713,-0.00103568,0.455403
0.0240081,0.150847,0.5,1,2,0.0751378,0.0751378,0.00104274,0.628146
0.0281528,0.176889,0.5,1,2,0.087984,0.087984,0.0039756,0.825917
0.0318743,0.200272,0.5,1,2,0.099468,0.099468,0.00793233,1.04388
0.0359413,0.225826,0.5,1,2,0.111956,0.111956,0.012801,1.25959
0.040112,0.252031,0.5,1,2,0.124686,0.124686,0.0185739,1.47379
0.043952,0.276158,0.5,1,2,0.136331,0.136331,0.0230839,1.62591
0.0479294,0.301149,0.5,1,2,0.148309,0.148309,0.031518,1.86794
0.0519471,0.326393,0.5,1,2,0.160314,0.160314,0.0395974,2.05728
0.0559638,0.351631,0.5,1,2,0.172215,0.172215,0.0482028,2.23004
0.0599159,0.376463,0.5,1,2,0.183817,0.183817,0.0574733,2.38995
0.0639108,0.401563,0.5,1,2,0.195429,0.195429,0.0673529,2.53496
0.067874,0.426465,0.5,1,2,0.206828,0.206828,0.077249,2.65994
0.0718811,0.451642,0.5,1,2,0.218222,0.218222,0.0884289,2.77889
0.076007,0.477566,0.5,1,2,0.229809,0.229809,0.100347,2.88154
0.0798809,0.501906,0.5,1,2,0.240549,0.240549,0.108811,2.94764
0.0838772,0.527016,0.5,1,2,0.251478,0.251478,0.1217,3.03257
0.087965,0.5527,0.5,1,2,0.262494,0.262494,0.135213,3.09519
0.0919708,0.57787,0.5,1,2,0.27312,0.27312,0.147697,3.13511
0.0959146,0.602649,0.5,1,2,0.283414,0.283414,0.160627,3.16091
0.100027,0.628488,0.5,1,2,0.293961,0.293961,0.174264,3.17022
0.104155,0.654427,0.5,1,2,0.304352,0.304352,0.187273,3.16583
0.108144,0.679491,0.5,1,2,0.314198,0.314198,0.196454,3.16116
0.111994,0.703677,0.5,1,2,0.323513,0.323513,0.209411,3.14971
0.116166,0.72989,0.5,1,2,0.333394,0.333394,0.222291,3.12438
0.120025,0.754142,0.5,1,2,0.342332,0.342332,0.235973,3.08554
0.123963,0.778882,0.5,1,2,0.351242,0.351242,0.248235,3.03872
0.128007,0.80429,0.5,1,2,0.360169,0.360169,0.260594,2.98306
0.131909,0.828809,0.5,1,2,0.368564,0.368564,0.273003,2.9193
0.135917,0.853994,0.5,1,2,0.376955,0.376955,0.281408,2.87504
0.140858,0.885037,0.5,1,2,0.386969,0.386969,0.297829,2.77493
0.144019,0.904898,0.5,1,2,0.393181,0.393181,0.305809,2.72681
0.147934,0.929497,0.5,1,2,0.40066,0.40066,0.317642,2.64597
0.151908,0.954466,0.5,1,2,0.408003,0.408003,0.325241,2.59319
0.156737,0.98481,0.5,1,2,0.416584,0.416584,0.338735,2.49178
0.160689,1.00964,0.5,1,2,0.423319,0.423319,0.349041,2.41152
0.164261,1.03208,0.5,1,2,0.429185,0.429185,0.358303,2.33551
0.168109,1.05626,0.5,1,2,0.43526,0.43526,0.36454,2.28403
0.172845,1.08602,0.5,1,2,0.442389,0.442389,0.376819,2.17499
0.176628,1.10979,0.5,1,2,0.447802,0.447802,0.385786,2.09177
0.180028,1.13115,0.5,1,2,0.452451,0.452451,0.391363,2.03992
0.184022,1.15624,0.5,1,2,0.457648,0.457648,0.399374,1.96321
0.187994,1.1812,0.5,1,2,0.462531,0.462531,0.407265,1.88425
0.191967,1.20616,0.5,1,2,0.467128,0.467128,0.415012,1.80259
0.19594,1.23113,0.5,1,2,0.471432,0.471432,0.422585,1.71803
0.200158,1.25763,0.5,1,2,0.475681,0.475681,0.427653,1.66069
0.204017,1.28188,0.5,1,2,0.479276,0.479276,0.434781,1.57828
0.208048,1.3072,0.5,1,2,0.48273,0.48273,0.441244,1.49861
0.211912,1.33148,0.5,1,2,0.48575,0.48575,0.446803,1.42685
0.215909,1.35659,0.5,1,2,0.488573,0.488573,0.45263,1.34722
0.219904,1.3817,0.5,1,2,0.491087,0.491087,0.457867,1.27133
