time_since_fade_in (s),phase_,amp (rad),freq (Hz),motor_idx,policy_output,command (rad),motor_position (rad),motor_velocity (rad/s)
0.00355566,0.0223409,0.5,1,2,0.0111695,0.0111695,-0.00390993,0.00108324
0.00752941,0.0473087,0.5,1,2,0.0236455,0.0236455,-0.00355591,0.160636
0.0115533,0.0725917,0.5,1,2,0.036264,0.036264,-0.00240384,0.399092
0.0153933,0.0967191,0.5,1,2,0.0482842,0.0482842,-0.000950415,0.614442
0.0196619,0.123539,0.5,1,2,0.0616127,0.0616127,0.00364455,0.992257
0.0235982,0.148272,0.5,1,2,0.0738647,0.0738647,0.00820934,1.24733
0.0271782,0.170766,0.5,1,2,0.0849685,0.0849685,0.0114317,1.41612
0.0311011,0.195414,0.5,1,2,0.0970864,0.0970864,0.0175463,1.67313
0.035114,0.220628,0.5,1,2,0.109421,0.109421,0.025152,1.89908
0.0391,0.245673,0.5,1,2,0.121604,0.121604,0.0334004,2.07956
0.043106,0.270843,0.5,1,2,0.133772,0.133772,0.0427647,2.22956
0.0471895,0.2965,0.5,1,2,0.146087,0.146087,0.0519915,2.34474
0.0513567,0.322684,0.5,1,2,0.158556,0.158556,0.0621425,2.4471
0.0553075,0.347507,0.5,1,2,0.170277,0.170277,0.0729377,2.5314
0.0592753,0.372437,0.5,1,2,0.181943,0.181943,0.08403,2.58786
0.0632089,0.397153,0.5,1,2,0.193397,0.193397,0.090844,2.63655
0.0672952,0.422828,0.5,1,2,0.205171,0.205171,0.104047,2.70287
0.0711448,0.447016,0.5,1,2,0.216138,0.216138,0.114986,2.73287
0.0752973,0.473107,0.5,1,2,0.227827,0.227827,0.124915,2.75601
0.079277,0.498112,0.5,1,2,0.238884,0.238884,0.136065,2.78451
0.0831013,0.522141,0.5,1,2,0.249369,0.249369,0.149251,2.78366
0.0872024,0.547909,0.5,1,2,0.260452,0.260452,0.158741,2.77738
0.0911696,0.572835,0.5,1,2,0.271008,0.271008,0.17186,2.76406
0.0955567,0.6004,0.5,1,2,0.282486,0.282486,0.181827,2.75006
0.0995613,0.625562,0.5,1,2,0.292777,0.292777,0.193168,2.74969
0.10343,0.649867,0.5,1,2,0.30254,0.30254,0.203928,2.74034
0.107109,0.672986,0.5,1,2,0.311662,0.311662,0.214905,2.7201
0.111106,0.6981,0.5,1,2,0.321382,0.321382,0.225768,2.68525
0.115101,0.723204,0.5,1,2,0.330895,0.330895,0.236758,2.64869
0.119185,0.74886,0.5,1,2,0.340402,0.340402,0.246283,2.62248
0.123758,0.777594,0.5,1,2,0.350783,0.350783,0.259871,2.56302
0.127585,0.801638,0.5,1,2,0.359248,0.359248,0.267303,2.54882
0.131404,0.825636,0.5,1,2,0.36749,0.36749,0.277763,2.52665
0.135166,0.849274,0.5,1,2,0.375401,0.375401,0.287592,2.49107
0.139153,0.874323,0.5,1,2,0.383555,0.383555,0.298725,2.42994
0.143138,0.899361,0.5,1,2,0.391465,0.391465,0.307895,2.37853
0.14727,0.925328,0.5,1,2,0.399409,0.399409,0.315949,2.34366
0.151211,0.950084,0.5,1,2,0.406732,0.406732,0.327132,2.28626
0.155376,0.976259,0.5,1,2,0.414204,0.414204,0.335749,2.23256
0.15948,1.00204,0.5,1,2,0.421286,0.421286,0.344399,2.18537
0.163148,1.02509,0.5,1,2,0.42738,0.42738,0.353293,2.13424
0.167179,1.05042,0.5,1,2,0.433815,0.433815,0.361326,2.07843
0.171154,1.0754,0.5,1,2,0.439889,0.439889,0.369559,2.02198
0.175144,1.10046,0.5,1,2,0.445709,0.445709,0.37756,1.96342
0.17911,1.12538,0.5,1,2,0.451216,0.451216,0.385323,1.90343
0.183099,1.15045,0.5,1,2,0.456473,0.456473,0.393391,1.83383
0.187097,1.17557,0.5,1,2,0.461454,0.461454,0.400619,1.76768
0.19113,1.2009,0.5,1,2,0.466183,0.466183,0.405524,1.73024
0.195307,1.22715,0.5,1,2,0.470767,0.470767,0.412825,1.66407
0.199499,1.25349,0.5,1,2,0.475039,0.475039,0.419716,1.6042
0.203487,1.27854,0.5,1,2,0.478799,0.478799,0.427862,1.5124
0.207537,1.30399,0.5,1,2,0.482309,0.482309,0.432034,1.46487
0.21153,1.32908,0.5,1,2,0.485464,0.485464,0.437785,1.4018
0.215548,1.35433,0.5,1,2,0.488331,0.488331,0.443537,1.3295
0.219301,1.37791,0.5,1,2,0.490727,0.490727,0.448974,1.25304
0.22321,1.40247,0.5,1,2,0.492933,0.492933,0.453844,1.17705
0.227241,1.4278,0.5,1,2,0.494896,0.494896,0.458298,1.10367
0.231264,1.45308,0.5,1,2,0.49654,0.49654,0.462468,1.03159
0.235141,1.47743,0.5,1,2,0.497822,0.497822,0.466259,0.961902
0.239176,1.50279,0.5,1,2,0.498844,0.498844,0.470576,0.872722
0.243504,1.52998,0.5,1,2,0.499584,0.499584,0.473676,0.802713
0.247609,1.55577,0.5,1,2,0.499944,0.499944,0.476737,0.728122
0.251602,1.58086,0.5,1,2,0.499975,0.499975,0.479431,0.654727
0.255199,1.60347,0.5,1,2,0.499733,0.499733,0.481778,0.582399
0.259384,1.62976,0.5,1,2,0.499131,0.499131,0.483999,0.504182
0.263419,1.65511,0.5,1,2,0.498224,0.498224,0.486231,0.411407
0.267462,1.68052,0.5,1,2,0.496993,0.496993,0.487717,0.336296
0.271162,1.70376,0.5,1,2,0.495587,0.495587,0.488821,0.265465
0.275464,1.73079,0.5,1,2,0.493614,0.493614,0.48968,0.192891
0.279482,1.75604,0.5,1,2,0.491446,0.491446,0.490278,0.113881
0.283585,1.78182,0.5,1,2,0.488909,0.488909,0.49056,0.035333
0.287436,1.80601,0.5,1,2,0.486232,0.486232,0.490511,-0.0478991
0.291502,1.83156,0.5,1,2,0.483097,0.483097,0.490112,-0.126597
0.295518,1.85679,0.5,1,2,0.479691,0.479691,0.489687,-0.182211
0.299277,1.88041,0.5,1,2,0.476226,0.476226,0.488705,-0.271885
0.303238,1.9053,0.5,1,2,0.472286,0.472286,0.487152,-0.358594
0.307149,1.92987,0.5,1,2,0.468111,0.468111,0.485639,-0.42584
0.311138,1.95494,0.5,1,2,0.46356,0.46356,0.483962,-0.494332
0.31531,1.98115,0.5,1,2,0.45849,0.45849,0.481912,-0.570508
0.319361,2.00661,0.5,1,2,0.453264,0.453264,0.479628,-0.649473
0.323304,2.03138,0.5,1,2,0.447897,0.447897,0.476931,-0.726154
0.3271,2.05523,0.5,1,2,0.442469,0.442469,0.473742,-0.810494
0.331298,2.08161,0.5,1,2,0.436174,0.436174,0.469517,-0.889011
0.335112,2.10557,0.5,1,2,0.430191,0.430191,0.466082,-0.952064
0.339098,2.13062,0.5,1,2,0.423675,0.423675,0.462302,-1.01956
0.34309,2.1557,0.5,1,2,0.416884,0.416884,0.458256,-1.09128
0.347215,2.18161,0.5,1,2,0.40959,0.40959,0.454164,-1.16407
0.351422,2.20805,0.5,1,2,0.401866,0.401866,0.447476,-1.24341
0.355222,2.23192,0.5,1,2,0.39465,0.39465,0.44416,-1.29597
0.359325,2.2577,0.5,1,2,0.386606,0.386606,0.436954,-1.38455
0.363283,2.28258,0.5,1,2,0.3786,0.3786,0.431257,-1.44161
0.367108,2.30661,0.5,1,2,0.370643,0.370643,0.426073,-1.50138
0.371104,2.33172,0.5,1,2,0.362101,0.362101,0.420664,-1.56876
